Spanish translation of the countries (for both stakeholders and activities);";";-;es
Bélgica;Belgium
Bermudas;Bermuda
Aruba;Aruba
Islas Malvinas (Falkland);Falkland Islands
Israel / Gaza y Cisjordania;Israel
Jamahiriya Árabe Libia;Libya
Micronesia (Estados Federados de);Micronesia
República de Corea;South Korea
República Árabe Siria;Syria
Bosnia y Herzegovina;Bosnia and Herzegovina
Camerún;Cameroon
las Islas Caimán;Cayman Islands
Comoras;Comoros
Costa Rica;Costa Rica
República Checa;Czech Republic
República Dominicana;Dominican Republic
Etiopía;Ethiopia
Gibraltar;Gibraltar
Guam;Guam
Guinea-Bissau;Guinea-Bissau
Hong Kong;Hong Kong
Indonesia;Indonesia
Kiribati;Kiribati
Kirguistán;Kyrgyzstan
Líbano;Lebanon
Madagascar;Madagascar
Malta;Malta
Mauricio;Mauritius
Nauru;Nauru
Nigeria;Nigeria
Omán;Oman
Panama;Panama
Papua Nueva Guinea;Papua New Guinea
Eslovaquia;Slovakia
Sudáfrica;South Africa
Suecia;Sweden
Albania;Albania
Santa Sede (Ciudad del Vaticano);Vatican City
Afganistán;Afghanistan
Algeria;Algeria
Anguilla;Anguilla
Macedonia;Macedonia
Turkmenistán;Turkmenistan
Emiratos Árabes Unidos;United Arab Emirates
Argentina;Argentina
Azerbaiyán;Azerbaijan
República Centroafricana;Central African Republic
Territorios del sur francés;French Southern Territories
San Vicente y las Granadinas;Saint Vincent and the Grenadines
Islas Turcas y Caicos;Turks and Caicos Islands
Angola;Angola
Chipre;Cyprus
Antigua y Barbuda;Antigua and Barbuda
Austria;Austria
Brunei;Brunei
El Salvador;El Salvador
Armenia;Armenia
Australia;Australia
Bahamas;Bahamas
Bahrain;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Bielorrusia;Belarus
Belice;Belize
Benin;Benin
Bután;Bhutan
Bolivia;Bolivia
Botswana;Botswana
Brasil;Brazil
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Camboya;Cambodia
Canadá;Canada
Cabo Verde;Cape Verde
Chad;Chad
Chile;Chile
China;China
Colombia;Colombia
Islas Cook;Cook Islands
Croacia;Croatia
Cuba;Cuba
Congo;Democratic Republic of the Congo
Dinamarca;Denmark
Andorra;Andorra
Djibouti;Djibouti
Dominica;Dominica
D.P.R. Corea;North Korea
Ecuador;Ecuador
Egipto;Egypt
Guinea Ecuatorial;Equatorial Guinea
Eritrea;Eritrea
Estonia;Estonia
Islas Feroe;Faroe Islands
Fiji;Fiji
Finlandia;Finland
Francia;France
Francés Guayana;French Guiana
Francés Polynesia;French Polynesia
Samoa Anericana;American Samoa
Costa de Marfil;Côte d'Ivoire
Georgia;Georgia
Alemania;Germany
Ghana;Ghana
Grecia;Greece
Granada;Grenada
Guatemala;Guatemala
Guinea;Guinea
Guadalupe;Guadeloupe
Guayana;Guyana
Haití;Haiti
Honduras;Honduras
Hungría;Hungary
Islandia;Iceland
India;India
Irán;Iran
Irak;Iraq
Irlanda;Ireland
Italia;Italy
Jamaica;Jamaica
Japón;Japan
Jordania;Jordan
Kazajstán;Kazakhstan
Kenia;Kenya
Kuwait;Kuwait
Laos;Laos
Letonia;Latvia
Lesoto;Lesotho
Liberia;Liberia
Liechtenstein;Liechtenstein
Lituania;Lithuania
Luxemburgo;Luxembourg
Malawi;Malawi
Malasia;Malaysia
Macao;Macao
Maldivas;Maldives
Mali;Mali
Islas Marshall;Marshall Islands
Martinica;Martinique
Mauritania;Mauritania
México;Mexico
Moldavia;Moldova
Mónaco;Monaco
Mongolia;Mongolia
Montserrat;Montserrat
Marruecos;Morocco
Mozambique;Mozambique
Myanmar;Myanmar
Namibia;Namibia
Nepal;Nepal
Países Bajos;Netherlands
Nueva Caledonia;New Caledonia
Nueva Zelanda;New Zealand
Nicaragua;Nicaragua
Gabón;Gabon
Noruega;Norway
Pakistán;Pakistan
Palau;Palau
Paraguay;Paraguay
Perú;Peru
Filipinas;Philippines
Níger;Niger
Portugal;Portugal
Puerto Rico;Puerto Rico
Qatar;Qatar
Reunión;Reunion
Rumania;Romania
Ruanda;Rwanda
Santa Elena;Saint Helena
la Federación de Rusia;Russia
Santa Lucía;Saint Lucia
San Pedro y Miquelón;Saint Pierre and Miquelon
Samoa;Samoa
San Marino;San Marino
Santo Tomé y Príncipe;Sao Tome and Principe
Arabia Saudita;Saudi Arabia
Senegal;Senegal
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Singapur;Singapore
Eslovenia;Slovenia
las Islas Salomón;Solomon Islands
Somalia;Somalia
España;Spain
Sri Lanka;Sri Lanka
Sudán;Sudan
Suriname;Suriname
Swazilandia;Swaziland
Suiza;Switzerland
Taiwan;Taiwan
Tayikistán;Tajikistan
Tailandia;Thailand
Togo;Togo
Tanzania, República Unida de;Tanzania
Tokelau;Tokelau
Niue;Niue
Tonga;Tonga
Trinidad y Tobago;Trinidad and Tobago
Túnez;Tunisia
Turquía;Turkey
Tuvalu;Tuvalu
Uganda;Uganda
Ucrania;Ukraine
Gambia;Gambia
Polonia;Poland
Yemen;Yemen
Zambia;Zambia
Islas Vírgenes (Británicas);British Virgin Islands
Islas Vírgenes (EE.UU.);Virgin Islands, U.S.
Islas Wallis y Futuna;Wallis and Futuna
Palestina;Palestina
Zimbabue;Zimbabwe
Reino Unido;United Kingdom
Estados Unidos;United States
Uruguay;Uruguay
Uzbekistán;Uzbekistan
Vanuatu;Vanuatu
Venezuela;Venezuela
Viet Nam;Vietnam
Antillas Holandesas;Bonaire, Saint Eustatius and Saba
Alandia;Åland
Antártida;Antarctica
Isla Bouvet;Bouvet Island
Territorio Británico del Océano Índico;British Indian Ocean Territory
;Caspian Sea
Isla de Navidad;Christmas Island
Isla Clipperton;Clipperton Island
Islas Cocos;Cocos Islands
Curazao;Curaçao
Timor Oriental;East Timor
Groenlandia;Greenland
Guernsey;Guernsey
Islas Heard y McDonald;Heard Island and McDonald Islands
Isla de Man;Isle of Man
Jersey;Jersey
Kosovo;Kosovo
Mayotte;Mayotte
Montenegro;Montenegro
Norfolk;Norfolk Island
Islas Marianas del Norte;Northern Mariana Islands
Islas Pitcairn;Pitcairn Islands
República del Congo;Republic of Congo
San Cristóbal y Nieves;Saint Kitts and Nevis
San Bartolomé;Saint-Barthélemy
San Martín;Saint-Martin
Serbia;Serbia
Sint Maarten;Sint Maarten
Islas Georgias del Sur y Sandwich del Sur;South Georgia and the South Sandwich Islands
Sudán del Sur;South Sudan
Islas Spratly;Spratly islands
Svalbard y Jan Mayen;Svalbard and Jan Mayen
Islas ultramarinas de Estados Unidos;United States Minor Outlying Islands
Sahara Occidental;Western Sahara
